"","Pos","LW","Weeks","Song","Artist","hit_week"
"1","1","New","1","I Need You","Rick Nelson",1965-06-04
"2","2","New","1","Ticket To Ride","Beatles",1965-06-04
"3","3","New","1","Key To Your Heart","Emil Dean",1965-06-04
"4","4","New","1","Torture","Gene Rockwell",1965-06-04
"5","5","New","1","I Know A Place","Petula Clark",1965-06-04
"6","6","New","1","Under The Boardwalk","Rolling Stones",1965-06-04
"7","7","New","1","Lovely Lovely","Chubby Checker",1965-06-04
"8","8","New","1","Minute You’re Gone","Cliff Richard",1965-06-04
"9","9","New","1","Tired Of Waiting For You","Kinks",1965-06-04
"10","10","New","1","Forget Domani","Connie Francis",1965-06-04
"11","11","New","1","Funny How Love Can Be","Ivy League",1965-06-04
"12","12","New","1","Shabby Little Hut","Bats",1965-06-04
"13","13","New","1","Do What You Do Do Well","Ned Miller",1965-06-04
"14","14","New","1","Last Time","Rolling Stones",1965-06-04
"15","15","New","1","Do The Clam","Elvis Presley",1965-06-04
"16","16","New","1","I’ll Never Find Another You","Seekers",1965-06-04
"17","17","New","1","Tennessee Yodel Polka","Slim Whitman",1965-06-04
"18","18","New","1","Just Another Guy","Cliff Richard",1965-06-04
"19","19","New","1","Game Of Love","Wayne Fontana And The Mindbenders",1965-06-04
"20","20","New","1","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-06-04
"21","1","1","2","I Need You","Rick Nelson",1965-06-11
"22","2","6","2","Under the Boardwalk","Rolling Stones",1965-06-11
"23","3","10","2","Forget Domani","Connie Francis",1965-06-11
"24","4","2","2","Ticket to Ride","Beatles",1965-06-11
"25","5","15","2","Do the Clam","Elvis Presley",1965-06-11
"26","6","4","2","Torture","Gene Rockwell",1965-06-11
"27","7","12","2","Shabby Little Hut","Bats",1965-06-11
"28","8","5","2","I Know a Place","Petula Clark",1965-06-11
"29","9","11","2","Funny How Love Can Be","Ivy League",1965-06-11
"30","10","3","2","Key to Your Heart","Emil Dean",1965-06-11
"31","11","14","2","The Last Time","Rolling Stones",1965-06-11
"32","12","7","2","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-11
"33","13","8","2","The Minute You’re Gone","Cliff Richard",1965-06-11
"34","14","17","2","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-11
"35","15","9","2","Tired of Waiting for You","Kinks",1965-06-11
"36","16","20","2","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-11
"37","17","12","2","Do What You Do Do Well","Ned Miller",1965-06-11
"38","18","New","1","It’s Not Unusual","Tom Jones",1965-06-11
"39","19","New","1","Concrete and Clay","Eddie Rambeau",1965-06-11
"40","20","New","1","Catch the Wind","Donovan",1965-06-11
"41","1","3","3","Forget Domani","Connie Francis",1965-06-18
"42","2","1","3","I Need You","Rick Nelson",1965-06-18
"43","3","5","3","Do the Clam","Elvis Presley",1965-06-18
"44","4","2","3","Under the Boardwalk","Rolling Stones",1965-06-18
"45","5","7","3","Shabby Little Hut","Bats",1965-06-18
"46","6","4","3","Ticket to Ride","Beatles",1965-06-18
"47","7","11","3","The Last Time","Rolling Stones",1965-06-18
"48","8","14","3","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-18
"49","9","16","3","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-18
"50","10","8","3","I Know a Place","Petula Clark",1965-06-18
"51","11","6","3","Torture","Gene Rockwell",1965-06-18
"52","12","18","2","It’s Not Unusual","Tom Jones",1965-06-18
"53","13","9","3","Funny How Love Can Be","Ivy League",1965-06-18
"54","14","20","2","Catch the Wind","Donovan",1965-06-18
"55","15","New","1","Concrete and Clay","Unit Four Plus Two",1965-06-18
"56","16","13","3","The Minute You’re Gone","Cliff Richard",1965-06-18
"57","17","12","3","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-18
"58","18","10","3","Key to Your Heart","Emil Dean",1965-06-18
"59","19","New","1","Where are You Now","Jackie Trent",1965-06-18
"60","20","New","1","World of Our Own","Seekers",1965-06-18
"61","1","3","4","Do the Clam","Elvis Presley",1965-06-25
"62","2","1","4","Forget Domani","Connie Francis",1965-06-25
"63","3","5","4","Shabby Little Hut","Bats",1965-06-25
"64","4","4","4","Under the Boardwalk","Rolling Stones",1965-06-25
"65","5","2","4","I Need You","Rick Nelson",1965-06-25
"66","6","9","4","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-25
"67","7","7","4","The Last Time","Rolling Stones",1965-06-25
"68","8","8","4","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-25
"69","9","6","4","Ticket to Ride","Beatles",1965-06-25
"70","10","12","3","It’s Not Unusual","Tom Jones",1965-06-25
"71","11","14","3","Catch the Wind","Donovan",1965-06-25
"72","12","15","2","Concrete and Clay","Unit Four Plus Two",1965-06-25
"73","13","19","2","Where Are You Now","Jackie Trent",1965-06-25
"74","14","20","2","World of Our Own","Seekers",1965-06-25
"75","15","11","4","Torture","Gene Rockwell",1965-06-25
"76","16","10","4","I Know a Place","Petula Clark",1965-06-25
"77","17","13","4","Funny How Love Can Be","Ivy League",1965-06-25
"78","18","New","1","Long Live Love","Sandie Shaw",1965-06-25
"79","19","17","4","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-25
"80","20","16","4","The Minute You’re Gone","Cliff Richard",1965-06-25
"81","1","4","5","Under the Boardwalk","Rolling Stones",1965-07-02
"82","2","6","5","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-07-02
"83","3","1","5","Do the Clam","Elvis Presley",1965-07-02
"84","4","3","5","Shabby Little Hut","Bats",1965-07-02
"85","5","2","5","Forget Domani","Connie Francis",1965-07-02
"86","6","5","5","I Need You","Rick Nelson",1965-07-02
"87","7","10","4","It’s Not Unusual","Tom Jones",1965-07-02
"88","8","11","4","Catch the Wind","Donovan",1965-07-02
"89","9","8","5","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-07-02
"90","10","14","3","World of Our Own","Seekers",1965-07-02
"91","11","12","3","Concrete and Clay","Unit Four Plus Two",1965-07-02
"92","12","13","3","Where Are You Now","Jackie Trent",1965-07-02
"93","13","7","5","The Last Time","Rolling Stones",1965-07-02
"94","14","9","5","Ticket to Ride","Beatles",1965-07-02
"95","15","18","2","Long Live Love","Sandie Shaw",1965-07-02
"96","16","New","1","Little Lonely One","Tom Jones",1965-07-02
"97","17","New","1","Wonderful World","Herman’s Hermits",1965-07-02
"98","18","17","5","Funny How Love Can Be","Ivy League",1965-07-02
"99","19","15","5","Torture","Gene Rockwell",1965-07-02
"100","20","16","5","I Know a Place","Petula Clark",1965-07-02
"101","1","2","6","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-07-09
"102","2","1","6","Under the Boardwalk","Rolling Stones",1965-07-09
"103","3","3","6","Do the Clam","Elvis Presley",1965-07-09
"104","4","7","5","It’s Not Unusual","Tom Jones",1965-07-09
"105","5","8","5","Catch the Wind","Donovan",1965-07-09
"106","6","6","6","I Need You","Rick Nelson",1965-07-09
"107","7","10","4","World of Our Own","Seekers",1965-07-09
"108","8","11","4","Concrete and Clay","Unit Four Plus Two",1965-07-09
